Ten-Year Age Groups,Year,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
25-34 years,2014.0,11.0,43516504.0,4.0,0.01,0.05,0.01
25-34 years,2020.0,15.0,46069646.0,4.0,0.02,0.05,0.01
35-44 years,2001.0,10.0,45051752.0,4.0,0.01,0.04,0.01
35-44 years,2005.0,11.0,43505538.0,4.0,0.01,0.05,0.01
35-44 years,2006.0,19.0,43243801.0,4.0,0.03,0.07,0.01
35-44 years,2007.0,16.0,42796230.0,4.0,0.02,0.06,0.01
35-44 years,2008.0,13.0,42192486.0,4.0,0.02,0.05,0.01
35-44 years,2010.0,14.0,41070606.0,4.0,0.02,0.06,0.01
35-44 years,2011.0,13.0,40627954.0,4.0,0.02,0.05,0.01
35-44 years,2012.0,18.0,40516420.0,4.0,0.03,0.07,0.01
35-44 years,2013.0,12.0,40452690.0,4.0,0.02,0.05,0.01
35-44 years,2014.0,16.0,40513133.0,4.0,0.02,0.06,0.01
35-44 years,2015.0,26.0,40589783.0,0.06,0.04,0.09,0.01
35-44 years,2016.0,23.0,40470156.0,0.06,0.04,0.09,0.01
35-44 years,2017.0,17.0,40875370.0,4.0,0.02,0.07,0.01
35-44 years,2018.0,23.0,41277888.0,0.06,0.04,0.08,0.01
35-44 years,2019.0,24.0,41659144.0,0.06,0.04,0.09,0.01
35-44 years,2020.0,64.0,42136192.0,0.15,0.12,0.19,0.02
45-54 years,1999.0,40.0,36577819.0,0.11,0.08,0.15,0.02
45-54 years,2000.0,34.0,37677952.0,0.09,0.06,0.13,0.02
45-54 years,2001.0,37.0,39386268.0,0.09,0.07,0.13,0.02
45-54 years,2002.0,43.0,39992194.0,0.11,0.08,0.14,0.02
45-54 years,2003.0,40.0,40819954.0,0.1,0.07,0.13,0.02
45-54 years,2004.0,48.0,41629930.0,0.12,0.09,0.15,0.02
45-54 years,2005.0,47.0,42495904.0,0.11,0.08,0.15,0.02
45-54 years,2006.0,57.0,43286159.0,0.13,0.1,0.17,0.02
45-54 years,2007.0,79.0,43939939.0,0.18,0.14,0.22,0.02
45-54 years,2008.0,65.0,44460447.0,0.15,0.11,0.19,0.02
45-54 years,2009.0,72.0,44867088.0,0.16,0.13,0.2,0.02
45-54 years,2010.0,90.0,45006716.0,0.2,0.16,0.25,0.02
45-54 years,2011.0,78.0,44718203.0,0.17,0.14,0.22,0.02
45-54 years,2012.0,85.0,44268738.0,0.19,0.15,0.24,0.02
45-54 years,2013.0,100.0,43767532.0,0.23,0.18,0.27,0.02
45-54 years,2014.0,105.0,43458851.0,0.24,0.2,0.29,0.02
45-54 years,2015.0,100.0,43188161.0,0.23,0.19,0.28,0.02
45-54 years,2016.0,110.0,42786679.0,0.26,0.21,0.31,0.02
45-54 years,2017.0,105.0,42374952.0,0.25,0.2,0.3,0.02
45-54 years,2018.0,110.0,41631699.0,0.26,0.21,0.31,0.03
45-54 years,2019.0,126.0,40874902.0,0.31,0.25,0.36,0.03
45-54 years,2020.0,291.0,40366133.0,0.72,0.64,0.8,0.04
55-64 years,1999.0,150.0,23778026.0,0.63,0.53,0.73,0.05
55-64 years,2000.0,142.0,24274684.0,0.58,0.49,0.68,0.05
55-64 years,2001.0,162.0,25105295.0,0.65,0.55,0.74,0.05
55-64 years,2002.0,169.0,26703332.0,0.63,0.54,0.73,0.05
55-64 years,2003.0,191.0,28008945.0,0.68,0.59,0.78,0.05
55-64 years,2004.0,222.0,29305304.0,0.76,0.66,0.86,0.05
55-64 years,2005.0,236.0,30641497.0,0.77,0.67,0.87,0.05
55-64 years,2006.0,254.0,31930113.0,0.8,0.7,0.89,0.05
