Ten-Year Age Groups,Year,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Crude Rate Standard Error
25-34 years,1999,784,40178406,4,3,4,0
25-34 years,2000,784,39891724,4,3,4,0
25-34 years,2001,0,39471522,4,0,0,0
25-34 years,2002,784,39349646,4,3,4,0
25-34 years,2003,784,39243795,4,3,4,0
25-34 years,2004,784,39266556,4,3,4,0
25-34 years,2005,784,39258647,4,3,4,0
25-34 years,2006,784,39395179,4,3,4,0
25-34 years,2007,0,39713463,4,0,0,0
25-34 years,2008,784,40207473,4,3,4,0
25-34 years,2009,784,40723342,4,3,4,0
25-34 years,2010,784,41063948,4,3,4,0
25-34 years,2011,784,41790498,4,3,4,0
25-34 years,2012,784,42309321,4,3,4,0
25-34 years,2013,784,42844587,4,3,4,0
25-34 years,2014,11,43516504,4,0,0,0
25-34 years,2015,784,44137202,4,3,4,0
25-34 years,2016,784,44677243,4,3,4,0
25-34 years,2017,784,45342672,4,3,4,0
25-34 years,2018,784,45697774,4,3,4,0
25-34 years,2019,784,45940321,4,3,4,0
25-34 years,2020,15,46069646,4,0,0,0
35-44 years,1999,784,45076677,4,3,4,0
35-44 years,2000,784,45148527,4,3,4,0
35-44 years,2001,10,45051752,4,0,0,0
35-44 years,2002,784,44640649,4,3,4,0
35-44 years,2003,784,44154206,4,3,4,0
35-44 years,2004,784,43800275,4,3,4,0
35-44 years,2005,11,43505538,4,0,0,0
35-44 years,2006,19,43243801,4,0,0,0
35-44 years,2007,16,42796230,4,0,0,0
35-44 years,2008,13,42192486,4,0,0,0
35-44 years,2009,784,41487811,4,3,4,0
35-44 years,2010,14,41070606,4,0,0,0
35-44 years,2011,13,40627954,4,0,0,0
35-44 years,2012,18,40516420,4,0,0,0
35-44 years,2013,12,40452690,4,0,0,0
35-44 years,2014,16,40513133,4,0,0,0
35-44 years,2015,26,40589783,0,0,0,0
35-44 years,2016,23,40470156,0,0,0,0
35-44 years,2017,17,40875370,4,0,0,0
35-44 years,2018,23,41277888,0,0,0,0
35-44 years,2019,24,41659144,0,0,0,0
35-44 years,2020,64,42136192,0,0,0,0
45-54 years,1999,40,36577819,0,0,0,0
45-54 years,2000,34,37677952,0,0,0,0
45-54 years,2001,37,39386268,0,0,0,0
45-54 years,2002,43,39992194,0,0,0,0
45-54 years,2003,40,40819954,0,0,0,0
45-54 years,2004,48,41629930,0,0,0,0
45-54 years,2005,47,42495904,0,0,0,0
45-54 years,2006,57,43286159,0,0,0,0
45-54 years,2007,79,43939939,0,0,0,0
45-54 years,2008,65,44460447,0,0,0,0
45-54 years,2009,72,44867088,0,0,0,0
45-54 years,2010,90,45006716,0,0,0,0
45-54 years,2011,78,44718203,0,0,0,0
45-54 years,2012,85,44268738,0,0,0,0
45-54 years,2013,100,43767532,0,0,0,0
45-54 years,2014,105,43458851,0,0,0,0
45-54 years,2015,100,43188161,0,0,0,0
45-54 years,2016,110,42786679,0,0,0,0
45-54 years,2017,105,42374952,0,0,0,0
45-54 years,2018,110,41631699,0,0,0,0
45-54 years,2019,126,40874902,0,0,0,0
45-54 years,2020,291,40366133,1,1,1,0
55-64 years,1999,150,23778026,1,1,1,0
55-64 years,2000,142,24274684,1,0,1,0
55-64 years,2001,162,25105295,1,1,1,0
55-64 years,2002,169,26703332,1,1,1,0
55-64 years,2003,191,28008945,1,1,1,0
55-64 years,2004,222,29305304,1,1,1,0
55-64 years,2005,236,30641497,1,1,1,0
55-64 years,2006,254,31930113,1,1,1,0
55-64 years,2007,276,33128434,1,1,1,0
55-64 years,2008,264,34157063,1,1,1,0
55-64 years,2009,273,35405600,1,1,1,0
55-64 years,2010,301,36482729,1,1,1,0
55-64 years,2011,315,38062140,1,1,1,0
55-64 years,2012,338,38586202,1,1,1,0
55-64 years,2013,405,39316431,1,1,1,0
