Sex,Year,Age Adjusted Rate
Female,1999,4
Female,2000,4
Female,2001,4
Female,2002,4
Female,2003,4
Female,2004,4
Female,2005,4
Female,2006,4
Female,2007,4
Female,2008,4
Female,2009,3
Female,2010,3
Female,2011,4
Female,2012,4
Female,2013,4
Female,2014,4
Female,2015,4
Female,2016,4
Female,2017,4
Female,2018,4
Female,2019,4
Female,2020,6
Male,1999,6
Male,2000,6
Male,2001,6
Male,2002,6
Male,2003,6
Male,2004,6
Male,2005,6
Male,2006,6
Male,2007,6
Male,2008,5
Male,2009,5
Male,2010,5
Male,2011,5
Male,2012,5
Male,2013,5
Male,2014,5
Male,2015,5
Male,2016,5
Male,2017,5
Male,2018,6
Male,2019,5
Male,2020,11
