Ten-Year Age Groups,Year,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
25-34 years,2014,4.42,0.01,0.05
25-34 years,2020,4.42,0.02,0.05
35-44 years,2001,4.42,0.01,0.04
35-44 years,2005,4.42,0.01,0.05
35-44 years,2006,4.42,0.03,0.07
35-44 years,2007,4.42,0.02,0.06
35-44 years,2008,4.42,0.02,0.05
35-44 years,2010,4.42,0.02,0.06
35-44 years,2011,4.42,0.02,0.05
35-44 years,2012,4.42,0.03,0.07
35-44 years,2013,4.42,0.02,0.05
35-44 years,2014,4.42,0.02,0.06
35-44 years,2015,0.06,0.04,0.09
35-44 years,2016,0.06,0.04,0.09
35-44 years,2017,4.42,0.02,0.07
35-44 years,2018,0.06,0.04,0.08
35-44 years,2019,0.06,0.04,0.09
35-44 years,2020,0.15,0.12,0.19
45-54 years,1999,0.11,0.08,0.15
45-54 years,2000,0.09,0.06,0.13
45-54 years,2001,0.09,0.07,0.13
45-54 years,2002,0.11,0.08,0.14
45-54 years,2003,0.1,0.07,0.13
45-54 years,2004,0.12,0.09,0.15
45-54 years,2005,0.11,0.08,0.15
45-54 years,2006,0.13,0.1,0.17
45-54 years,2007,0.18,0.14,0.22
45-54 years,2008,0.15,0.11,0.19
45-54 years,2009,0.16,0.13,0.2
45-54 years,2010,0.2,0.16,0.25
45-54 years,2011,0.17,0.14,0.22
45-54 years,2012,0.19,0.15,0.24
45-54 years,2013,0.23,0.18,0.27
45-54 years,2014,0.24,0.2,0.29
45-54 years,2015,0.23,0.19,0.28
45-54 years,2016,0.26,0.21,0.31
45-54 years,2017,0.25,0.2,0.3
45-54 years,2018,0.26,0.21,0.31
45-54 years,2019,0.31,0.25,0.36
45-54 years,2020,0.72,0.64,0.8
55-64 years,1999,0.63,0.53,0.73
55-64 years,2000,0.58,0.49,0.68
55-64 years,2001,0.65,0.55,0.74
55-64 years,2002,0.63,0.54,0.73
55-64 years,2003,0.68,0.59,0.78
55-64 years,2004,0.76,0.66,0.86
55-64 years,2005,0.77,0.67,0.87
55-64 years,2006,0.8,0.7,0.89
55-64 years,2007,0.83,0.73,0.93
55-64 years,2008,0.77,0.68,0.87
55-64 years,2009,0.77,0.68,0.86
55-64 years,2010,0.83,0.73,0.92
55-64 years,2011,0.83,0.74,0.92
55-64 years,2012,0.88,0.78,0.97
55-64 years,2013,1.03,0.93,1.13
55-64 years,2014,1.04,0.94,1.14
55-64 years,2015,1.17,1.06,1.27
55-64 years,2016,1.24,1.13,1.35
55-64 years,2017,1.26,1.16,1.37
55-64 years,2018,1.45,1.34,1.56
55-64 years,2019,1.33,1.22,1.44
55-64 years,2020,3.05,2.89,3.22
65-74 years,1999,4.39,4.08,4.69
65-74 years,2000,4.5,4.2,4.81
65-74 years,2001,4.4,4.1,4.7
65-74 years,2002,4.65,4.34,4.96
65-74 years,2003,4.68,4.37,4.99
65-74 years,2004,4.61,4.3,4.92
65-74 years,2005,4.63,4.33,4.94
65-74 years,2006,4.97,4.65,5.28
65-74 years,2007,5.37,5.05,5.69
65-74 years,2008,3.7,3.44,3.96
65-74 years,2009,3.6,3.34,3.85
65-74 years,2010,3.71,3.45,3.96
65-74 years,2011,4.05,3.78,4.31
65-74 years,2012,4.08,3.83,4.34
65-74 years,2013,4.3,4.05,4.56
65-74 years,2014,4.42,4.17,4.68
65-74 years,2015,4.79,4.53,5.05
65-74 years,2016,4.9,4.64,5.15
65-74 years,2017,5.14,4.88,5.4
65-74 years,2018,5.21,4.96,5.47
65-74 years,2019,5.34,5.08,5.59
65-74 years,2020,11.79,11.41,12.16
75-84 years,1999,23.22,22.37,24.08
75-84 years,2000,23.9,23.04,24.76
75-84 years,2001,23.55,22.7,24.4
75-84 years,2002,24.4,23.55,25.26
75-84 years,2003,24.9,24.04,25.76
75-84 years,2004,24.15,23.3,24.99
75-84 years,2005,26.16,25.28,27.03
75-84 years,2006,25.4,24.54,26.26
75-84 years,2007,25.39,24.53,26.25
75-84 years,2008,19.3,18.55,20.06
75-84 years,2009,19.08,18.33,19.83
75-84 years,2010,19.68,18.92,20.45
75-84 years,2011,20.73,19.95,21.51
75-84 years,2012,20.55,19.77,21.32
75-84 years,2013,21.43,20.64,22.21
75-84 years,2014,21.06,20.29,21.83
75-84 years,2015,22.31,21.52,23.09
75-84 years,2016,20.34,19.6,21.08
75-84 years,2017,22.16,21.4,22.92
75-84 years,2018,22.17,21.43,22.91
75-84 years,2019,21.52,20.8,22.23
75-84 years,2020,42.43,41.43,43.42
85+ years,1999,99.49,96.46,102.53
85+ years,2000,99.51,96.51,102.52
85+ years,2001,102.08,99.06,105.09
85+ years,2002,108.52,105.43,111.61
85+ years,2003,109.06,106.0,112.13
85+ years,2004,102.33,99.39,105.28
85+ years,2005,110.46,107.45,113.46
85+ years,2006,103.17,100.31,106.02
85+ years,2007,99.63,96.88,102.39
85+ years,2008,93.09,90.47,95.72
85+ years,2009,84.03,81.57,86.48
85+ years,2010,89.36,86.86,91.86
85+ years,2011,91.54,89.07,94.02
85+ years,2012,91.38,88.94,93.82
85+ years,2013,94.33,91.88,96.77
85+ years,2014,86.85,84.52,89.18
85+ years,2015,93.0,90.62,95.38
85+ years,2016,89.59,87.27,91.91
85+ years,2017,93.34,90.99,95.7
85+ years,2018,91.71,89.39,94.03
85+ years,2019,85.33,83.1,87.56
85+ years,2020,139.82,136.98,142.66
