image_path,text
iam_images/0.png,put down a resolution on the subject
iam_images/1.png,and he is to be backed by Mr. Will
iam_images/2.png,nominating any more Labour life Peers
iam_images/3.png,M Ps tomorrow. Mr. Michael Foot has
iam_images/4.png,"Griffiths, M P for Manchester Exchange ."
iam_images/5.png,is to be made at a meeting of Labour
iam_images/6.png,A MOVE to stop Mr. Gaitskell from
iam_images/7.png,0M P for Manchester Exchange .
iam_images/8.png,A MOVE to stop Mr. Gaitskell from nominating
iam_images/9.png,meeting of Labour 0M Ps tommorow . Mr. Michael
iam_images/10.png,any more Labour life Peers is to be made at a
iam_images/11.png,Foot has put down a resolution on the subject
iam_images/12.png,"and he is to be backed by Mr. Will Griffiths ,"
iam_images/13.png,"which would appear to "" prop up "" an out-dated"
iam_images/14.png,"Though they may gather some Left-wing support , a"
iam_images/15.png,"life peers into existence , they should not"
iam_images/16.png,and that Labour should not take any steps
iam_images/17.png,now put forward nominees . He believes
iam_images/18.png,large majority of Labour M Ps are likely to
iam_images/19.png,that the House of Lords should be abolished
iam_images/20.png,institution .
iam_images/21.png,opposed the Government Bill which brought
iam_images/22.png,turn down the Foot-Griffiths resolution . Mr.
iam_images/23.png,Foot's line will be that as Labour M Ps
iam_images/24.png,"into existence , they should not now put"
iam_images/25.png,Though they may gather some Left-wing
iam_images/26.png,"which would appear to "" prop up "" an out-"
iam_images/27.png,House of Lords should be abolished and
iam_images/28.png,M Ps are likely to turn down the Foot-
iam_images/29.png,that Labour should not take any steps
iam_images/30.png,be that as Labour M Ps opposed the
iam_images/31.png,forward nominees . He believes that the
iam_images/32.png,Government Bill which brought life peers
iam_images/33.png,Griffiths resolution . Mr. Foot's line will
iam_images/34.png,"support , a large majority of Labour"
iam_images/35.png,will be that as Labour 0M Ps opposed the Govern-
iam_images/36.png,that Labour should not take any steps which would
iam_images/37.png,"appear to "" prop up "" an out-dated institution ."
iam_images/38.png,large majority of Labour 0m Ps are likely to turn
iam_images/39.png,that the House of Lords should be abolished and
iam_images/40.png,"Though they may gather some Left-wing support , a"
iam_images/41.png,down the Foot-Griffiths resolution . Mr. Foot's line
iam_images/42.png,"ment Bill which brought life peers into existence , they"
iam_images/43.png,should not now put forward nominees . He believes
iam_images/44.png,get together to face the challenge from Sir
iam_images/45.png,members . THE two rival African Nationalist
iam_images/46.png,"Roy Welensky , the Federal Premier ."
iam_images/47.png,Parties of Northern Rhodesia have agreed to
iam_images/48.png,Peeresses have been created . Most Labour
iam_images/49.png,Labour has to have an adequate number of
iam_images/50.png,sentiment would # still favour the abolition
iam_images/51.png,"of the House of Lords , but while it remains"
iam_images/52.png,"Since 1958 , 13 Labour life Peers and"
iam_images/53.png,of members . THE two rival African
iam_images/54.png,Peeresses have been created . Most Labour
iam_images/55.png,"the challenge from Sir Roy Welensky ,"
iam_images/56.png,"of the House of Lords , but while it remains"
iam_images/57.png,have agreed to get together to face
iam_images/58.png,"Since 1958 , 13 Labour life Peers and"
iam_images/59.png,the Federal Premier .
iam_images/60.png,Labour has to have an adequate number
iam_images/61.png,Nationalist Parties of Northern Rhodesia
iam_images/62.png,sentiment would still favour the abolition
iam_images/63.png,Peeresses have been created . Most Labour sentiment
iam_images/64.png,"Since 1958 , 13 Labour life Peers and #"
iam_images/65.png,"of Lords , but while it remains Labour has to"
iam_images/66.png,"challenge from Sir Roy Welensky , the Federal Premier ."
iam_images/67.png,two rival African Nationalist Parties of Northern
iam_images/68.png,would still favour the abolition of the House
iam_images/69.png,have an adequate number of members . THE
iam_images/70.png,Rhodesia have agreed to get together to face the
iam_images/71.png,"Party ( 280,000 members ) and Mr. Harry Nkumbula's African"
iam_images/72.png,to discuss a common course of action . Sir Roy is
iam_images/73.png,Delegates from Mr. Kenneth Kaunda's United National Independence
iam_images/74.png,violently opposed to Africans getting an elected majority
iam_images/75.png,"in Northern Rhodesia , but the Colonial Secretary ,"
iam_images/76.png,"National Congress ( 400,000 ) will meet in London today"
iam_images/77.png,"Mr. Iain Macleod , is insisting on a policy of change ."
iam_images/78.png,Delegates from Mr. Kenneth Kaunda's
